var_name,var_category,call:’call’ install.package(‘call’),REST API ,Website,Custom
Household Income,Macroeconomic Indicators,"[""fredr"", ""BOE"", ""rbcb"", ""ecb"", ""readrba"", ""BOJ"", ""SNBdata""]",Null,Null,0
Gross Domestic Product (GDP),Macroeconomic Indicators,"[""fredr"", ""BOE"", ""rbcb"", ""ecb"", ""readrba"", ""BOJ"", ""SNBdata""]",Null,Null,0
Interest Rate,Macroeconomic Indicators,"[""fredr"", ""BOE"", ""rbcb"", ""ecb"", ""readrba"", ""BOJ"", ""SNBdata""]",Null,Null,0
Inflation Rate,Macroeconomic Indicators,"[""fredr"", ""BOE"", ""rbcb"", ""ecb"", ""readrba"", ""BOJ"", ""SNBdata""]",Null,Null,0
Consumer Confidence,Macroeconomic Indicators,"[""fredr"", ""BOE"", ""rbcb"", ""ecb"", ""readrba"", ""BOJ"", ""SNBdata""]",Null,Null,0
Consumer Credit,Macroeconomic Indicators,"[""fredr"", ""BOE"", ""rbcb"", ""ecb"", ""readrba"", ""BOJ"", ""'SNBdata', repos = c('http://enricoschumann.net/R', getOption('repos'))""]",Null,Null,0
Exchange Rates,Macroeconomic Indicators,“priceR”,Null,Null,0
Gasoline Price,Energy and Commodity Prices,“priceR”,Null,Null,0
Crude Oil,Energy and Commodity Prices,“priceR”,Null,Null,0
Natural Gas,Energy and Commodity Prices,“priceR”,Null,Null,0
Coal ,Energy and Commodity Prices,“priceR”,Null,Null,0
Liquified Natural Gas,Energy and Commodity Prices,“priceR”,Null,Null,0
Cost per kWh,Energy and Commodity Prices,Null,Null,Null,1
Lithium Price,Energy and Commodity Prices,“priceR”,Null,Null,0
Nickel Price,Energy and Commodity Prices,“priceR”,Null,Null,0
VanEck Rare Earth and Strategic Metals ETF (REMX),Financial Markets,“priceR”,Null,Null,0
Total Electric Vehicle (EV) Sales,Electric Vehicle Metrics,Null,Null,Markline,0
Total Vehicle Sales,Electric Vehicle Metrics,Null,Null,Markline,0
Total EV Stock,Electric Vehicle Metrics,Null,Null,Markline,0
Government Incentives and Subsidies,Government Policies,Null,Null,Null,1
Urbanization Trends,Government Policies,Null,Null,Null,1
Tariffs,Trade and Tariffs,"""tradestatistics”",Null,Null,0
Search,Query,“imfr”,,,
